"Phone Flashlight: Wavelength (nm)","Phone Flashlight: Intensity (rel)","Fluorescent: Wavelength (nm)","Fluorescent: Intensity (rel)","Helium: Wavelength (nm)","Helium: Intensity (rel)","Incandescent Bulb: Wavelength (nm)","Incandescent Bulb: Intensity (rel)"
380.2,0.0251506828412,380.2,0.0230876630808,380.2,0.0185211464612,380.2,0.0219891406628
381,0.0261942303943,381,0.0232572077685,381,0.0181104244551,381,0.0217733950476
381.8,0.0269130998703,381.8,0.0233402846655,381.8,0.018374914168,381.8,0.0225787323144
382.7,0.0273030526521,382.7,0.0237531259802,382.7,0.0184571433416,382.7,0.0222269270873
383.5,0.0270055017251,383.5,0.0241201902291,383.5,0.0185147885354,383.5,0.0224566601392
384.3,0.0265307765994,384.3,0.0245177725219,384.3,0.0182664055678,384.3,0.0221260479981
385.2,0.0272504937989,385.2,0.0244770817968,385.2,0.0187606283326,385.2,0.0219938031417
386,0.0273522206115,386,0.0248772072599,386,0.0191853377754,386,0.0215563778473
386.8,0.0272047167332,386.8,0.0255892949484,386.8,0.0196108949416,386.8,0.0210833481685
387.6,0.0272013258395,387.6,0.0261648991633,387.6,0.0195998745369,387.6,0.0206603341726
388.5,0.0273496774412,388.5,0.0267583055704,388.5,0.0193820096132,388.5,0.0206942431101
389.3,0.0280999126845,389.3,0.027171146885,389.3,0.0188699846562,389.3,0.0207671473259
390.1,0.0283754228021,390.1,0.027725558014,390.1,0.0185478497495,390.1,0.0209748395683
391,0.0284025499521,391,0.0277001263108,391,0.0188267507608,391,0.0209273670558
391.8,0.0284000067818,391.8,0.028983579597,391.8,0.0187869077592,391.8,0.0212808677297
392.6,0.0283432093114,392.6,0.0299270957843,392.6,0.0185978654324,392.6,0.0213037562626
393.5,0.0289425497826,393.5,0.0310715224265,393.5,0.0192616328849,393.5,0.0213232539016
394.3,0.0298385934573,394.3,0.0308239871824,394.3,0.0192056831379,394.3,0.0210324847622
395.1,0.0303557047549,395.1,0.0310935632359,395.1,0.0192472215864,395.1,0.0203873672253
395.9,0.0305600061036,395.9,0.0317437671134,395.9,0.0183215075914,395.9,0.0205891254037
396.8,0.0309058772666,396.8,0.0327288217492,396.8,0.018533438451,396.8,0.0214249807143
397.6,0.0311610420217,397.6,0.0331653993201,397.6,0.0189284775735,397.6,0.022079423209
398.4,0.0316993464052,398.4,0.033437518544,398.4,0.0194091367632,398.4,0.021843756093
399.3,0.0323919364547,399.3,0.0340088841416,399.3,0.0198033281622,399.3,0.021436001119
400.1,0.0333168027263,400.1,0.0343462780702,400.1,0.0199432025296,400.1,0.0213775082017
400.9,0.0350520926053,400.9,0.0348667802616,400.9,0.0198770801014,400.9,0.0214343056721
401.8,0.0356565194171,401.8,0.034660783466,401.8,0.0193099531209,401.8,0.0207451065165
402.6,0.0377105533091,402.6,0.0347998101099,402.6,0.0190471588549,402.6,0.0205730186584
403.4,0.0391126878767,403.4,0.0350091977993,403.4,0.0181400947755,403.4,0.0207315429414
404.2,0.0413735662877,404.2,0.036755508083,404.2,0.0181231403067,404.2,0.0213775082017
405.1,0.0432877258123,405.1,0.0383653348931,405.1,0.017524647559,405.1,0.0219158125853
405.9,0.0453960140044,405.9,0.039646245009,405.9,0.0174492001729,405.9,0.022031102973
406.7,0.0476501106279,406.7,0.0402701694599,406.7,0.0168049303595,406.7,0.0216072412536
407.6,0.0499881318719,407.6,0.0413323669286,407.6,0.0167600010173,407.6,0.0214385442893
408.4,0.0523549757127,408.4,0.0429972957622,408.4,0.0170931563287,408.4,0.0218361265821
409.2,0.0555678475454,409.2,0.0437644854743,409.2,0.0170032976442,409.2,0.0223574764969
410.1,0.0586094792435,410.1,0.0458812509007,410.1,0.0161784627383,410.1,0.0223083085374
410.9,0.0622148470283,410.9,0.0467001517425,410.9,0.0153671914075,410.9,0.0218123903258
411.7,0.0661389588261,411.7,0.0493942168307,411.7,0.0154002526216,411.7,0.0222464247264
412.5,0.0706946245857,412.5,0.0519577325093,412.5,0.015996202199,412.5,0.0220862049965
413.4,0.075392707883,413.4,0.0553571034986,413.4,0.0162462806134,413.4,0.0220590778464
414.2,0.0801976043336,414.2,0.0589522986021,414.2,0.0163683527886,414.2,0.0212469587922
415,0.0846117002789,415,0.0629476191687,415,0.0155892949484,415,0.0215657028051
415.9,0.0904720124107,415.9,0.0688036926833,415.9,0.0155986199062,415.9,0.021594525402
416.7,0.0966917592805,416.7,0.0745300645118,416.7,0.0155613200749,416.7,0.0220489051652
417.5,0.103056466858,417.5,0.079083187101,417.5,0.0158359824691,417.5,0.0220531437824
418.4,0.109088019125,418.4,0.0826834685452,418.4,0.0158563278316,418.4,0.0224397056704
419.2,0.116568330748,419.2,0.0869627764638,419.2,0.0154121207497,419.2,0.0221218093809
420,0.125735612014,420,0.0952806388444,420,0.0159775522833,420,0.0223820604766
420.8,0.134608733247,420.8,0.108744182498,420.8,0.0160589337335,420.8,0.0222294702576
421.7,0.145004365776,421.7,0.12710332901,421.7,0.0165556996685,421.7,0.0223778218594
422.5,0.155575477056,422.5,0.145910921221,422.5,0.016376830023,422.5,0.0221913227029
423.3,0.169092427287,423.3,0.161526834685,423.3,0.0167371124844,423.3,0.0225041326518
424.2,0.18303663013,424.2,0.176057662148,424.2,0.0169346320456,424.2,0.0227779473225
425,0.196609530107,425,0.192684909675,425,0.0172627010164,425,0.0230144621619
425.8,0.206093859939,425.8,0.204357213703,425.8,0.0172016649288,425.8,0.022562625569
426.7,0.211683748294,426.7,0.214795232403,426.7,0.0169346320456,426.7,0.0221023117418
427.5,0.216277561608,427.5,0.216462704407,427.5,0.016736264761,427.5,0.0220472097183
428.3,0.221795393471,428.3,0.219223739647,428.3,0.0171041767334,428.3,0.0223795173063
429.1,0.228450022465,429.1,0.219536549596,429.1,0.0173644278291,429.1,0.0227669269178
430,0.235297932403,430,0.223041886015,430,0.0169685409832,430,0.022521934844
430.8,0.24267821266,430.8,0.224020158863,430.8,0.0171550401397,430.8,0.0220836618262
431.6,0.250219560371,431.6,0.227824741656,431.6,0.0170117748786,431.6,0.0217081203428
432.5,0.258865491722,432.5,0.236449479922,432.5,0.0178340666141,432.5,0.0217284657053
433.3,0.267384264558,433.3,0.244343480583,433.3,0.0174441138323,433.3,0.0226117935285
434.1,0.276838076346,434.1,0.250596288667,434.1,0.0179705500877,434.1,0.0225304120784
435,0.285160177344,435,0.24967989963,435,0.0183876300196,435,0.022666895552
435.8,0.29408331426,435.8,0.260901214788,435.8,0.0187224807779,435.8,0.0218183243899
436.6,0.302345226893,436.6,0.267031102973,436.6,0.0185190271526,436.6,0.0222523587905
437.4,0.310809745429,437.4,0.275184507006,437.4,0.0186139721777,437.4,0.0222303179811
438.3,0.318751218602,438.3,0.271446894365,438.3,0.0190463111315,438.3,0.0227660791943
439.1,0.324172409993,439.1,0.273100802794,439.1,0.0190658087705,439.1,0.0226813068505
439.9,0.329559692446,439.9,0.274006171427,439.9,0.0188275984843,439.9,0.0227245407458
440.8,0.334665530717,440.8,0.269248747489,440.8,0.0186283834762,440.8,0.0223888422641
441.6,0.340359689055,441.6,0.262349974144,441.6,0.0195837677916,441.6,0.0224422488407
442.4,0.34382942109,442.4,0.246646745166,442.4,0.0198779278248,442.4,0.0232882768326
443.3,0.345672371845,443.3,0.238799369294,443.3,0.0199126844858,443.3,0.0231967227012
444.1,0.345961445538,444.1,0.229745682968,444.1,0.0189683205751,444.1,0.0237002704238
444.9,0.344711053466,444.9,0.226751523783,444.9,0.0187216330544,444.9,0.0231043208464
445.7,0.342658715021,445.7,0.224316862067,445.7,0.0188547256343,445.7,0.023835906174
446.6,0.340430897824,446.6,0.222130583318,446.6,0.0192378966286,446.6,0.0236451684003
447.4,0.33726465078,447.4,0.220357993608,447.4,0.019377770996,447.4,0.0235061417563
448.2,0.333224400871,448.2,0.218322609632,448.2,0.0189411934251,448.2,0.0225727982503
449.1,0.327294575418,449.1,0.214885091088,449.1,0.0190115544705,449.1,0.0224100353501
449.9,0.321208768851,449.9,0.211664589744,449.9,0.0188996549766,449.9,0.0223566287734
450.7,0.313479226537,450.7,0.208847604757,450.7,0.0187589328857,450.7,0.0229144307961
451.6,0.305598789451,451.6,0.204326695659,451.6,0.0182731873554,451.6,0.0229356238821
452.4,0.297773454388,452.4,0.199736273238,452.4,0.0179273161924,452.4,0.0232925154498
453.2,0.28998118054,453.2,0.19465586667,453.2,0.0175983994981,453.2,0.0232857336623
454,0.281859989997,454,0.189063435145,454,0.0172279443554,454,0.0237265498504
454.9,0.274776412943,454.9,0.182148555055,454.9,0.0170583996677,454.9,0.0235315734595
455.7,0.266928189348,455.7,0.176261963497,455.7,0.0169303934284,455.7,0.0235943049939
456.5,0.259640310945,456.5,0.170576282394,456.5,0.0169948204098,456.5,0.0234976645219
457.4,0.251514034062,457.4,0.166380051372,457.4,0.0164471910684,457.4,0.0233052313013
458.2,0.244935700177,458.2,0.159821215127,458.2,0.0166769241203,458.2,0.023261997406
459,0.239508574723,459,0.154098234192,459,0.016597238117,459,0.0230865186542
459.9,0.234122987716,459.9,0.148678738248,459.9,0.0171465629053,459.9,0.0233298152811
460.7,0.229275705094,460.7,0.144336698795,460.7,0.0167744123157,460.7,0.0234230648593
461.5,0.224614921628,461.5,0.138903639277,461.5,0.0164209116418,461.5,0.0232874291091
462.3,0.221451217755,462.3,0.135552588524,462.3,0.0164539728559,462.3,0.0229322329883
463.2,0.218201893814,463.2,0.131541161212,463.2,0.0165862177123,463.2,0.022777099599
464,0.215228927715,464,0.12978552597,464,0.0163488551495,464,0.0228635673898
464.8,0.209929808499,464.8,0.125957206921,464.8,0.0163912413214,464.8,0.0233332061748
465.7,0.202780109017,465.7,0.124308384833,465.7,0.0158419165332,465.7,0.023718072616
466.5,0.193723031798,466.5,0.122645999169,466.5,0.0165158566669,466.5,0.0238401447912
467.3,0.185606927596,467.3,0.121916957012,467.3,0.0156240516094,467.3,0.0241478683994
468.2,0.178250383595,468.2,0.120979374889,468.2,0.016079279096,468.2,0.02436742877
469,0.17260624094,469,0.120792028009,469,0.0163369870214,469,0.024713299933
